,model,dist_opt,seed,max_eig,eigen_trace,eig15
0,densenet,EASGD,1042,10.24817074155865,204.1785295442862,1.579524853962453
1,densenet,EASGD,36,8.659685303519911,175.7128465451643,1.5129959276078764
2,densenet,EASGD,720,9.721027360895132,202.21666905156098,1.2737330052743283
3,densenet,DP+SGD,36,36.06627551169272,435.84696715998007,1.2134399136047187
4,densenet,DP+SGD,720,32.02366686911882,375.0014614533734,2.0148356742567435
5,densenet,DP+SGD,1042,33.589469060431824,496.3711234614584,1.3570809438347657
6,densenet,LSGD,1042,11.569269511895428,195.65586986199605,1.5348864632801804
7,densenet,LSGD,36,9.635395018004786,198.5658845403326,1.3704622094217145
8,densenet,LSGD,720,11.244547458884494,189.74465985195252,1.5699743609684509
9,densenet,MGRAWA,36,12.680941168072163,188.44018206244925,1.815826982019723
10,densenet,MGRAWA,720,9.571210439811116,177.0140873248349,1.2517432722286554
11,densenet,MGRAWA,1042,10.567563066990685,129.21573206732486,2.2386298886032505
12,densenet,DP+SAM,36,23.92124978830568,597.6255840134548,1.3533819261081828
13,densenet,DP+SAM,720,28.252079817121736,602.9324285980125,1.6387671441346323
14,densenet,DP+SAM,1042,33.31639917581147,700.5071688248938,1.5441698255185863
15,densenet,LGRAWA,1042,15.618069878784823,190.81820204000405,2.1049167442604992
16,densenet,LGRAWA,36,12.318618296572849,166.42972983850456,1.9285615601791297
17,densenet,LGRAWA,720,12.090679474533577,174.63061375152748,1.757338254018544

